b,,
NA,,
SITAGLIPTIN,Dipeptidyl peptidase-4 inhibitor,
METFORMIN,Biguanide,
SAXAGLIPTIN,Dipeptidyl peptidase-4 inhibitor,
GLYBURIDE,Sulfonylureas,
EXENATIDE,GLP1,
INSULIN ISOPHANE (NPH),Pre-mixed insulin,
GLYBURIDE-METFORMIN,Sulfonylureas,Biguanide
INSULIN ISOPHANE (NPH)-INSULIN REGULAR,Pre-mixed insulin,
INSULIN ASPART,Bolus insulin,
GLIMEPIRIDE,Sulfonylureas,
INSULIN DETEMIR,Basal insulin,
LINAGLIPTIN,Dipeptidyl peptidase-4 inhibitor,
INSULIN,?,
INSULIN GLARGINE,Basal insulin,
GLIPIZIDE,Sulfonylureas,
INSULIN REGULAR,?,
LIRAGLUTIDE,Glucagon-like peptide-1 receptor,
ANTIDIABETIC COMBINATIONS,?,
INSULIN LISPRO,Bolus insulin,
METFORMIN-SITAGLIPTIN,Biguanide,Dipeptidyl peptidase-4 inhibitor
PIOGLITAZONE,Thiazolidinedione,
INSULIN ASPART-INSULIN ASPART PROTAMINE,? Bolus insulin?,
INSULIN LISPRO-INSULIN LISPRO PROTAMINE,? Bolus insulin?,
CANAGLIFLOZIN,?,
SGLT-2 INHIBITORS,?,
INSULIN ISOPHANE-INSULIN REGULAR,?,
DAPAGLIFLOZIN,?,
INCRETIN MIMETICS,? GLP-1?,
EMPAGLIFLOZIN,?,
GLP-1 RECEPTOR AGONISTS,?,
INSULIN DEGLUDEC,Basal insulin,
DULAGLUTIDE,?,
SEMAGLUTIDE,?,
DIPEPTIDYL PEPTIDASE 4 INHIBITORS,?,
EMPAGLIFLOZIN-METFORMIN,?,
ALOGLIPTIN,?,
ERTUGLIFLOZIN,?,
