Number,SE,LL,UL,year
14195706,489102,13267741,15188576,2003
15776713,538654,14754491,16869757,2004
16916358,577716,15820021,18088673,2005
17790588,608935,16635200,19026222,2006
19294130,605493,18142073,20519346,2007
20054691,640547,18836572,21351584,2008
20083596,590274,18958360,21275617,2009
20970670,732061,19582622,22457104,2010
22247912,778820,20771383,23829400,2011
21393099,729655,20008601,22873398,2012
23026363,784357,21537900,24617691,2013
24565551,869364,22917860,26331703,2014
24936053,859129,23306378,26679680,2015
25059776,833984,23475977,26750426,2016
26203600,832346,24620716,27888249,2017
26263542,984856,24400929,28268336,2018
25983422,969031,24150154,27955856,2019
28103547,1055387,26107117,30252645,2020
27933384,1199873,25675262,30390106,2021
