DCSDIABDX,Level,Number,SE,LL,UL,Percent,SE.1,LL.1,UL.1,Flags,year
1,ADMELOG,624822,214109,314346,1241951,0.1,0,0,0.2,,2020
1,ADMELOG SOLO,2180528,471302,1423403,3340377,0.4,0.1,0.2,0.6,,2020
1,ALOGLIPTIN,2389562,546064,1521368,3753204,0.4,0.1,0.3,0.6,,2020
1,ANTIDIABETIC COMBINATIONS,9500955,1029264,7680156,11753427,1.6,0.2,1.3,2,,2020
1,BASAGLAR,12785378,1135909,10739978,15220320,2.2,0.2,1.9,2.6,,2020
1,BASAGLAR KWIKPEN,22735,16132,2,254015929,0,0,0,0,R  Cx,2020
1,EMPAGLIFLOZIN,108380,79067,20430,574952,0,0,0,0.1,Cx,2020
1,FARXIGA,4890823,634831,3789009,6313037,0.8,0.1,0.6,1.1,,2020
1,FIASP FLEX,133911,67337,44199,405709,0,0,0,0.1,Cx,2020
1,GLIMEPIRIDE,22599418,1526389,19795536,25800447,3.9,0.2,3.4,4.4,,2020
1,GLIPIZIDE,26700606,1424287,24048551,29645127,4.6,0.2,4.2,5.1,,2020
1,GLIPIZIDE ER,7805986,749436,6464350,9426070,1.4,0.1,1.1,1.6,,2020
1,GLIPIZIDE TAB,12375,7218,932,164302,0,0,0,0,R  Cx,2020
1,GLIPIZIDE XL,776138,175561,494244,1218812,0.1,0,0.1,0.2,,2020
1,GLUCOPHAGE,151176,91757,36200,631339,0,0,0,0.1,Cx,2020
1,GLYBURID MCR,47353,18770,18499,121216,0,0,0,0,Cx,2020
1,GLYBURIDE,5136284,738498,3871300,6814614,0.9,0.1,0.7,1.2,,2020
1,GLYBURIDE TAB,367686,208991,113600,1190084,0.1,0,0,0.2,Cx,2020
1,HUMALOG,10864679,1007630,9056054,13034513,1.9,0.2,1.6,2.2,,2020
1,HUMALOG KWIK,7812381,771252,6435396,9484000,1.4,0.1,1.1,1.6,,2020
1,HUMALOG KWIK INJ,45141,26210,11797,172731,0,0,0,0,Cx,2020
1,HUMALOG KWIK PEN,61622,43661,12393,306412,0,0,0,0,Cx,2020
1,HUMALOG KWIKPEN,155975,80201,52934,459598,0,0,0,0.1,Cx,2020
1,HUMULIN,1476778,335217,942982,2312739,0.3,0.1,0.2,0.4,,2020
1,HUMULIN N,1563516,333087,1023757,2387854,0.3,0.1,0.2,0.4,,2020
1,HUMULIN R,1937419,364810,1336220,2809112,0.3,0.1,0.2,0.5,,2020
1,INS ASP PROT,107987,76369,11369,1025719,0,0,0,0.1,R  Cx,2020
1,INSULIN,3786071,698428,2632630,5444872,0.7,0.1,0.4,0.9,,2020
1,INSULIN ASPA,4346849,645974,3244344,5824010,0.8,0.1,0.6,1,,2020
1,INSULIN ASPART FLEXPEN 100,227352,161322,51450,1004645,0,0,0,0.1,Cx,2020
1,INSULIN GLARGINE,72953,43269,18302,290789,0,0,0,0,Cx,2020
1,INSULIN LISP,5207849,712244,3980409,6813795,0.9,0.1,0.7,1.2,,2020
1,INVOKANA,2981880,562038,2055312,4326159,0.5,0.1,0.3,0.7,,2020
1,INVOKANA TAB,43223,25851,2437,766494,0,0,0,0,R  Cx,2020
1,JANUMET,7671185,919524,6061566,9708230,1.3,0.2,1,1.7,,2020
1,JANUMET 50-1000,249560,128321,87223,714036,0,0,0,0.1,Cx,2020
1,JANUMET TAB,31195,16040,5635,172695,0,0,0,0,R  Cx,2020
1,JANUMET XR,2215468,469435,1458743,3364743,0.4,0.1,0.2,0.6,,2020
1,JANUVIA,27010482,1915002,23503892,31040226,4.7,0.3,4.1,5.3,,2020
1,JARDIANCE,16196079,1186662,14027620,18699748,2.8,0.2,2.4,3.2,,2020
1,JARDIANCE TAB,379853,158953,161661,892537,0.1,0,0,0.1,Cx,2020
1,LANTUS,11887239,994973,10086437,14009551,2.1,0.2,1.7,2.4,,2020
1,LANTUS INJ SOLOSTAR,30094,17474,6723,134704,0,0,0,0,Cx,2020
1,LANTUS SOLOS,15506383,1032479,13607774,17669894,2.7,0.2,2.4,3.1,,2020
1,LANTUS SOLOSTAR,408065,181364,165853,1004000,0.1,0,0,0.2,Cx,2020
1,LEVEMIR,12432728,1067406,10504880,14714373,2.2,0.2,1.8,2.5,,2020
1,LEVEMIR FLEXTOUC,274240,158579,79313,948244,0,0,0,0.1,Cx,2020
1,METFORMIN,236658760,6196363,224819605,249121373,41,0.6,39.7,42.3,,2020
1,METFORMIN ER,370923,116029,194964,705690,0.1,0,0,0.1,,2020
1,METFORMIN HCL,1317415,369285,756356,2294665,0.2,0.1,0.1,0.4,,2020
1,METFORMIN HCL ER,177446,95371,58783,535652,0,0,0,0.1,Cx,2020
1,METFORMIN HCL ER 24HR,353220,152989,134531,927402,0.1,0,0,0.1,Cx,2020
1,METFORMIN HCL TAB,654418,206064,344580,1242856,0.1,0,0.1,0.2,,2020
1,METFORMIN HCL TAB ER 24HR,86446,51702,17814,419489,0,0,0,0,Cx,2020
1,NESINA,100411,46220,36755,274312,0,0,0,0,Cx,2020
1,NOVLIN 70/30,1433386,394665,829445,2477071,0.2,0.1,0.1,0.4,,2020
1,NOVLIN N,1113117,303824,648399,1910906,0.2,0.1,0.1,0.3,,2020
1,NOVLIN R,629666,227814,305938,1295947,0.1,0,0,0.2,,2020
1,NOVOLIN,2254475,404452,1582182,3212435,0.4,0.1,0.3,0.6,,2020
1,NOVOLIN N,2718540,593612,1766861,4182818,0.5,0.1,0.3,0.7,,2020
1,NOVOLIN R,566578,134641,352587,910446,0.1,0,0.1,0.2,,2020
1,NOVOLOG,18975239,1495390,16257206,22147699,3.3,0.2,2.8,3.8,,2020
1,NOVOLOG FLEXPEN,545670,263994,203735,1461484,0.1,0,0,0.2,Cx,2020
1,NOVOLOG MIX,2475555,439857,1744090,3513794,0.4,0.1,0.3,0.6,,2020
1,OZEMPIC,10552187,969634,8810354,12638386,1.8,0.2,1.5,2.2,,2020
1,PIOGLITAZONE,9270129,866337,7716371,11136749,1.6,0.1,1.3,1.9,,2020
1,PIOGLITAZONE HCL,113252,42462,48918,262194,0,0,0,0,Cx,2020
1,RYBELSUS,373220,115625,196578,708588,0.1,0,0,0.1,,2020
1,SAXENDA,1451060,430318,804137,2618430,0.3,0.1,0.1,0.4,,2020
1,STEGLATRO,1812973,450709,1108331,2965606,0.3,0.1,0.2,0.5,,2020
1,SYNJARDY,1275126,434461,645362,2519433,0.2,0.1,0.1,0.4,,2020
1,SYNJARDY XR,2835561,785440,1639616,4903836,0.5,0.1,0.3,0.8,,2020
1,TOUJEO MAX,702690,220179,374913,1317033,0.1,0,0.1,0.2,,2020
1,TOUJEO SOLO,4994268,657606,3855654,6469126,0.9,0.1,0.7,1.1,,2020
1,TOUJEO SOLOSTAR,86446,51702,17814,419489,0,0,0,0,Cx,2020
1,TRADJENTA,2623481,490098,1815625,3790788,0.5,0.1,0.3,0.7,,2020
1,TRADJENTA TAB,57306,29690,18114,181290,0,0,0,0,Cx,2020
1,TRESIBA,1067937,269575,648056,1759863,0.2,0,0.1,0.3,,2020
1,TRESIBA FLEX,10289100,1056405,8410971,12586605,1.8,0.2,1.5,2.2,,2020
1,TRESIBA FLEXTOUCH,121477,85788,25651,575294,0,0,0,0.1,Cx,2020
1,TRULICITY,18367452,1474940,15690341,21501335,3.2,0.2,2.7,3.7,,2020
1,VICTOZA,9483915,841783,7967284,11289248,1.6,0.1,1.4,1.9,,2020
2,ALOGLIPTIN,177148,53758,94635,331605,0.9,0.3,0.4,1.7,,2020
2,ANTIDIABETIC COMBINATIONS,30650,21691,4,265144138,0.2,0.1,0,0.6,R  Cx,2020
2,DULAGLUTIDE,28667,21277,2213,371338,0.2,0.1,0,0.6,R  Cx,2020
2,EMPAGLIFLOZIN,228099,86050,103692,501764,1.2,0.5,0.5,2.5,Cx,2020
2,FARXIGA,65550,46669,6641,647049,0.3,0.2,0,1.3,R  Cx,2020
